occ_code,occ_name,group_name
395011,Barbers,"Barbers, Hairdressers, and Cosmetologists"
395012,"Hairdressers, Hairstylists, and Cosmetologists","Barbers, Hairdressers, and Cosmetologists"
372021,Pest Control Workers,Pest Control Workers
413031,"Securities, Commodities, and Financial Services Sales Agents","Securities, Commodities, and Financial Services Sales Agents"
352012,"Cooks, Institution and Cafeteria",Cooks
352015,"Cooks, Short Order",Cooks
352014,"Cooks, Restaurant",Cooks
352013,"Cooks, Private Household",Cooks
352019,"Cooks, All Other",Cooks
352011,"Cooks, Fast Food",Cooks
119031,"Education Administrators, Preschool and Childcare Center/Program",Preschool and Childcare Center Directors
291081,Podiatrists,Podiatrists
433031,"Bookkeeping, Accounting, and Auditing Clerks","Bookkeeping, Accounting, and Auditing Clerks"
173031,Surveying and Mapping Technicians,Surveying and Mapping Technicians
131131,Fundraisers,Fundraisers
119161,Emergency Management Directors,Emergency Management Directors
172081,Environmental Engineers,Environmental Engineers
390000,Personal Care and Service Occupations,Personal Care and Service Occupations
291065,"Pediatricians, General",Physicians and Surgeons
291062,Family and General Practitioners,Physicians and Surgeons
291069,"Physicians and Surgeons, All Other",Physicians and Surgeons
291061,Anesthesiologists,Physicians and Surgeons
291066,Psychiatrists,Physicians and Surgeons
291064,Obstetricians and Gynecologists,Physicians and Surgeons
291063,"Internists, General",Physicians and Surgeons
291067,Surgeons,Physicians and Surgeons
173022,Civil Engineering Technicians,Civil Engineering Technicians
452093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",Agricultural Workers
452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",Agricultural Workers
452099,"Agricultural Workers, All Other",Agricultural Workers
452091,Agricultural Equipment Operators,Agricultural Workers
452021,Animal Breeders,Agricultural Workers
171011,"Architects, Except Landscape and Naval",Architects
532021,Air Traffic Controllers,Air Traffic Controllers
394031,"Morticians, Undertakers, and Funeral Directors",Funeral Service Workers
119061,Funeral Service Managers,Funeral Service Workers
519083,Ophthalmic Laboratory Technicians,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians
519081,Dental Laboratory Technicians,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians
519082,Medical Appliance Technicians,Dental and Ophthalmic Laboratory Technicians and Medical Appliance Technicians
113131,Training and Development Managers,Training and Development Managers
537041,Hoist and Winch Operators,Material Moving Machine Operators
537032,Excavating and Loading Machine and Dragline Operators,Material Moving Machine Operators
537031,Dredge Operators,Material Moving Machine Operators
537021,Crane and Tower Operators,Material Moving Machine Operators
537033,"Loading Machine Operators, Underground Mining",Material Moving Machine Operators
537011,Conveyor Operators and Tenders,Material Moving Machine Operators
537051,Industrial Truck and Tractor Operators,Material Moving Machine Operators
